id,series_type,user_id,series_id,status,score,progress,progress_volume,priority,repeat,private,notes,custom_lists,advanced_scores,hidden_default,started_on,finished_on,created_at,updated_at
447945743,1,7078392,105398,2,70,201,0,0,0,0,,[],[],0,0,0,2024-12-21 11:02:24,2024-12-21 11:04:46
447945796,1,7078392,119257,0,90,200,0,0,0,0,,[],[],0,0,0,2024-12-21 11:03:18,2024-12-26 07:29:07
447945820,1,7078392,86964,2,90,94,5,0,0,0,,[],[],0,0,0,2024-12-21 11:03:45,2024-12-21 11:04:32
447945836,1,7078392,126297,3,0,89,0,0,0,0,,[],[],0,0,0,2024-12-21 11:03:56,2025-02-10 10:46:59
447946206,1,7078392,123573,1,0,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:05:28,2024-12-31 06:59:00
447946222,1,7078392,107521,2,70,125,9,0,0,0,,[],[],0,0,20241220,2024-12-21 11:05:41,2025-01-01 04:09:28
447946232,1,7078392,119521,2,90,202,0,0,0,0,,[],[],0,20241220,20241225,2024-12-21 11:05:51,2024-12-26 06:31:32
447946238,1,7078392,140407,2,90,210,0,0,0,0,genuine peak omg i love this series its been years im so happy,[],[],0,20241220,20250925,2024-12-21 11:05:57,2025-09-26 11:21:16
447946251,1,7078392,118408,0,90,100,0,0,0,0,,[],[],0,0,20241220,2024-12-21 11:06:04,2025-08-31 08:58:37
447946259,1,7078392,132144,0,90,120,0,0,0,0,,[],[],0,20241220,0,2024-12-21 11:06:09,2024-12-23 05:34:11
447946269,1,7078392,144957,4,0,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:06:17,2024-12-21 11:06:17
447946293,1,7078392,151512,3,30,50,0,0,0,0,,[],[],0,0,0,2024-12-21 11:06:31,2024-12-26 06:25:01
447946332,1,7078392,143056,4,50,50,0,0,0,0,,[],[],0,0,0,2024-12-21 11:06:52,2024-12-23 05:41:35
447946342,1,7078392,104973,2,90,158,9,0,1,0,,[],[],0,0,20241220,2024-12-21 11:06:59,2026-01-28 05:57:25
447946348,1,7078392,117540,2,90,128,0,0,0,0,,[],[],0,0,20241220,2024-12-21 11:07:05,2024-12-21 11:07:05
447946357,1,7078392,121991,4,50,158,0,0,0,0,,[],[],0,0,0,2024-12-21 11:07:14,2025-02-10 10:48:21
447946373,1,7078392,136331,3,50,50,0,0,0,0,,[],[],0,0,0,2024-12-21 11:07:26,2024-12-26 06:30:04
447946398,1,7078392,146139,4,50,86,0,0,0,0,season 1 was so good whyd the author lose the plot?,[],[],0,0,0,2024-12-21 11:07:43,2025-08-25 06:58:59
447946424,1,7078392,159930,4,70,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:07:52,2024-12-21 11:07:52
447946437,1,7078392,130429,4,50,70,0,0,0,0,,[],[],0,0,0,2024-12-21 11:08:00,2024-12-23 05:34:27
447946449,1,7078392,113488,4,70,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:08:07,2024-12-21 11:08:07
447946457,1,7078392,130229,2,90,69,0,0,0,0,,[],[],0,0,20241220,2024-12-21 11:08:13,2024-12-21 11:08:13
447946472,1,7078392,116382,2,50,125,0,0,0,0,,[],[],0,0,20241220,2024-12-21 11:08:19,2024-12-21 11:08:19
447946489,1,7078392,137304,4,50,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:08:28,2024-12-21 11:08:28
447946581,1,7078392,120385,4,50,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:09:21,2024-12-21 11:09:21
447946587,1,7078392,141958,4,70,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:09:27,2024-12-21 11:09:27
447948141,1,7078392,121565,2,90,130,0,0,0,0,,[],[],0,0,20241220,2024-12-21 11:09:56,2025-08-03 22:31:37
447948159,1,7078392,111075,0,90,136,0,0,0,0,,[],[],0,0,0,2024-12-21 11:10:09,2025-01-09 05:31:06
447948163,1,7078392,110472,3,50,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:10:14,2024-12-21 11:10:14
447948168,1,7078392,149483,3,10,60,0,0,0,0,,[],[],0,0,0,2024-12-21 11:10:20,2024-12-23 05:38:41
447948191,1,7078392,128521,3,10,117,0,0,0,0,,[],[],0,0,0,2024-12-21 11:10:40,2025-02-10 10:45:18
447948234,1,7078392,141013,4,70,0,0,0,0,0,"need to reread bcs I forgot the plot, then catch up",[],[],0,0,0,2024-12-21 11:11:06,2025-08-03 22:31:46
447948312,1,7078392,117581,2,70,159,0,0,1,0,,[],[],0,0,20241220,2024-12-21 11:11:53,2025-10-26 16:29:56
447948335,1,7078392,124783,3,30,55,0,0,0,0,,[],[],0,0,0,2024-12-21 11:12:18,2024-12-26 06:27:44
447948357,1,7078392,107763,3,0,40,0,0,0,0,,[],[],0,0,0,2024-12-21 11:12:31,2024-12-26 05:58:54
447948375,1,7078392,109436,2,50,150,11,0,0,0,,[],[],0,0,20241220,2024-12-21 11:12:43,2024-12-21 11:12:43
447948418,1,7078392,139339,3,10,55,0,0,0,0,,[],[],0,0,0,2024-12-21 11:13:16,2024-12-26 06:14:27
447948439,1,7078392,132093,4,50,52,0,0,0,0,,[],[],0,0,0,2024-12-21 11:13:30,2025-02-10 10:51:29
447948466,1,7078392,110095,2,70,124,10,0,0,0,,[],[],0,0,20241220,2024-12-21 11:13:49,2024-12-21 11:13:49
447948537,1,7078392,153994,3,30,27,0,0,0,0,,[],[],0,0,0,2024-12-21 11:14:49,2024-12-26 06:24:08
447948547,1,7078392,133575,3,50,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:14:54,2024-12-21 11:14:54
447948609,1,7078392,128067,0,90,116,0,0,1,0,,[],[],0,0,0,2024-12-21 11:15:44,2025-01-11 07:28:42
447948619,1,7078392,120980,3,30,100,0,0,0,0,,[],[],0,0,0,2024-12-21 11:15:55,2024-12-26 06:23:43
447948715,1,7078392,112197,3,50,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:16:56,2024-12-21 11:16:56
447948780,1,7078392,110059,3,50,200,0,0,0,0,,[],[],0,0,0,2024-12-21 11:17:33,2024-12-26 06:30:28
447948803,1,7078392,124474,4,50,40,0,0,0,0,,[],[],0,0,0,2024-12-21 11:17:58,2024-12-26 05:55:57
447948815,1,7078392,142894,0,90,122,0,0,0,0,,[],[],0,20230101,0,2024-12-21 11:18:09,2024-12-26 07:01:19
447948894,1,7078392,109271,3,10,110,0,0,0,0,,[],[],0,0,0,2024-12-21 11:18:57,2024-12-26 06:12:44
447948904,1,7078392,133038,2,70,70,0,0,0,0,,[],[],0,0,20241225,2024-12-21 11:19:05,2024-12-26 05:39:04
447948929,1,7078392,150170,4,50,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:19:19,2024-12-21 11:19:19
447948964,1,7078392,111103,2,50,143,0,0,0,0,,[],[],0,0,20241222,2024-12-21 11:19:47,2024-12-23 04:49:05
447948976,1,7078392,153948,4,50,0,0,0,0,0,,[],[],0,0,0,2024-12-21 11:19:53,2024-12-21 11:19:53
447948989,1,7078392,145525,3,30,120,0,0,0,0,,[],[],0,0,0,2024-12-21 11:20:09,2025-01-01 07:05:44
447949862,1,7078392,145538,2,30,107,0,0,0,0,,[],[],0,0,20241220,2024-12-21 11:21:07,2025-08-03 04:33:26
447949868,1,7078392,116633,4,50,10,0,0,0,0,,[],[],0,0,0,2024-12-21 11:21:14,2024-12-26 05:57:26
447949876,1,7078392,128963,5,70,2,0,0,0,0,,[],[],0,0,20241220,2024-12-21 11:21:23,2026-01-25 15:08:57
447949901,1,7078392,113340,2,90,66,0,0,0,0,,[],[],0,0,20241220,2024-12-21 11:21:40,2024-12-21 11:21:40
447949921,1,7078392,143003,2,90,77,0,0,0,0,,[],[],0,0,20241220,2024-12-21 11:21:58,2024-12-21 11:21:58
447949963,1,7078392,158706,4,50,60,0,0,0,0,,[],[],0,0,0,2024-12-21 11:22:22,2024-12-26 06:01:21
447949974,1,7078392,106098,2,90,169,0,0,0,0,,[],[],0,0,20241220,2024-12-21 11:22:36,2024-12-21 11:22:36
